COIN,START,CURRENT,MARGIN,PNL,PRICE
ETH,2.82706435,3.02706435,0.2,73.02,365.1
BNB,5.0252524,5.0252524,0.0,0.0,30.2246
USDT,1359.94406136,1286.92406136,-73.02,-73.02,1
,,,Total,0.0,
,,,%PNL,0.0,
