COIN,START,CURRENT,MARGIN,PNL,PRICE
ETH,3.96283435,3.45326435,-0.50957,-193.585643,379.9
USDT,572.69939924,765.71603277,193.01663353,193.01663353,1
BNB,5.58597708,5.58597708,0.0,0.0,27.7453
,,,Total,-0.56900947,
,,,%PNL,-0.02548,
