COIN,START,CURRENT,MARGIN,PNL,PRICE
USDT,515.85353582,222.87653582,-292.977,-292.977,1
BNB,5.04752427,5.04752427,0.0,0.0,29.9705
ETH,2.05972435,2.85972435,0.8,292.304,365.38
,,,Total,-0.673,
,,,%PNL,-0.047404,
