COIN,START,CURRENT,MARGIN,PNL,PRICE
USDT,113.53194047,295.91602797,182.3840875,182.3840875,1
BNB,5.04752427,5.04204535,-0.00547892,-0.163550693028,29.8509
ETH,3.15972435,2.65972435,-0.5,-181.055,362.11
,,,Total,1.165536806972,
,,,%PNL,0.082758,
