COIN,START,CURRENT,MARGIN,PNL,PRICE
USDT,186.24794047,113.53194047,-72.716,-72.716,1
BNB,5.04752427,5.04752427,0.0,0.0,29.9499
ETH,2.95972435,3.15972435,0.2,72.72,363.6
,,,Total,0.004,
,,,%PNL,0.000283,
