COIN,START,CURRENT,MARGIN,PNL,PRICE
USDT,186.24794047,186.24794047,0.0,0.0,1
BNB,5.04752427,5.04752427,0.0,0.0,29.9927
ETH,2.95972435,2.95972435,0.0,0.0,363.78
,,,Total,0.0,
,,,%PNL,0.0,
