COIN,START,CURRENT,MARGIN,PNL,PRICE
USDT,515.85353582,515.85353582,0.0,0.0,1
BNB,5.04752427,5.04752427,0.0,0.0,30.1803
ETH,2.05972435,2.05972435,0.0,0.0,368.16
,,,Total,0.0,
,,,%PNL,0.0,
